,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_bootstrap,param_criterion,param_max_depth,param_max_features,param_min_samples_leaf,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
145,0.18336472511291504,0.009268846462136195,0.00938568115234375,0.0006364368183024007,True,entropy,5,0.5,20,150,"{'bootstrap': True, 'criterion': 'entropy', 'max_depth': 5, 'max_features': 0.5, 'min_samples_leaf': 20, 'n_estimators': 150}",0.8282828282828283,0.9074074074074074,0.9178321678321678,0.9755244755244756,0.9475524475524476,0.9153198653198654,0.04961431026948887,20
146,0.23135776519775392,0.0018080098362443706,0.010939979553222656,0.00046609103129284475,True,entropy,5,0.5,20,200,"{'bootstrap': True, 'criterion': 'entropy', 'max_depth': 5, 'max_features': 0.5, 'min_samples_leaf': 20, 'n_estimators': 200}",0.8215488215488216,0.9057239057239057,0.9213286713286712,0.9755244755244756,0.9493006993006994,0.9146853146853147,0.05234209727458918,35
147,0.3020304203033447,0.009439725898597337,0.012847614288330079,0.00039550899861225597,True,entropy,5,0.5,20,250,"{'bootstrap': True, 'criterion': 'entropy', 'max_depth': 5, 'max_features': 0.5, 'min_samples_leaf': 20, 'n_estimators': 250}",0.8249158249158249,0.9124579124579125,0.9213286713286712,0.9737762237762239,0.9493006993006994,0.9163558663558664,0.050564144364340195,6
148,0.11826467514038086,0.0030914935432341767,0.0072002410888671875,0.00045893861069761524,True,entropy,5,0.5,25,100,"{'bootstrap': True, 'criterion': 'entropy', 'max_depth': 5, 'max_features': 0.5, 'min_samples_leaf': 25, 'n_estimators': 100}",0.8282828282828283,0.9006734006734006,0.9143356643356644,0.965034965034965,0.9475524475524476,0.9111758611758611,0.04736158789512629,99
149,0.18100132942199706,0.004827155456947941,0.009422636032104493,0.00046894248677982085,True,entropy,5,0.5,25,150,"{'bootstrap': True, 'criterion': 'entropy', 'max_depth': 5, 'max_features': 0.5, 'min_samples_leaf': 25, 'n_estimators': 150}",0.8249158249158249,0.9057239057239057,0.9125874125874126,0.9597902097902098,0.9475524475524476,0.9101139601139601,0.047230250707580766,124
150,0.2308332920074463,0.0020767842691110363,0.010781955718994141,0.00024781334920637296,True,entropy,5,0.5,25,200,"{'bootstrap': True, 'criterion': 'entropy', 'max_depth': 5, 'max_features': 0.5, 'min_samples_leaf': 25, 'n_estimators': 200}",0.8232323232323232,0.9090909090909091,0.9213286713286714,0.9597902097902098,0.9493006993006994,0.9125485625485625,0.04826785487914603,64
151,0.2970236301422119,0.01393287476691622,0.013707876205444336,0.0006497385812263596,True,entropy,5,0.5,25,250,"{'bootstrap': True, 'criterion': 'entropy', 'max_depth': 5, 'max_features': 0.5, 'min_samples_leaf': 25, 'n_estimators': 250}",0.8181818181818181,0.9141414141414141,0.916083916083916,0.965034965034965,0.9493006993006994,0.9125485625485625,0.051040494403968455,64
152,0.12100462913513184,0.004078795845188481,0.0071770668029785155,0.00026180841331798415,True,entropy,5,0.5,30,100,"{'bootstrap': True, 'criterion': 'entropy', 'max_depth': 5, 'max_features': 0.5, 'min_samples_leaf': 30, 'n_estimators': 100}",0.8282828282828283,0.8956228956228957,0.8898601398601399,0.9632867132867132,0.9405594405594406,0.9035224035224036,0.04659091797711336,216
153,0.17658710479736328,0.0037590935449369712,0.009077882766723633,0.0005150339446877132,True,entropy,5,0.5,30,150,"{'bootstrap': True, 'criterion': 'entropy', 'max_depth': 5, 'max_features': 0.5, 'min_samples_leaf': 30, 'n_estimators': 150}",0.8232323232323232,0.9074074074074074,0.8933566433566433,0.9562937062937062,0.9423076923076924,0.9045195545195546,0.046581263185330124,201
154,0.23486251831054689,0.007291747589972565,0.011070013046264648,0.0003493026330909601,True,entropy,5,0.5,30,200,"{'bootstrap': True, 'criterion': 'entropy', 'max_depth': 5, 'max_features': 0.5, 'min_samples_leaf': 30, 'n_estimators': 200}",0.8198653198653199,0.9023569023569024,0.9020979020979021,0.9580419580419581,0.9423076923076924,0.904933954933955,0.04789282473923451,196
